sym,date,last,stop,zlsma,atr,adx,pdi,ndi,regime,pct200,advol,f5,f10,f21
DE,2026-06-02,579.25,525.79,553.0594,16.9532,19.2915,29.3952,22.517,PASS,10.9956,817798183,-0.3315,1.0427,7.2542
GE,2026-04-01,292.68,269.22,287.4951,9.9107,34.1018,17.9878,33.1613,REPAIR,-0.2574,1702647417,6.9496,1.9168,-2.1081
GE,2026-05-06,305.83,275.47,284.7569,11.4316,26.6082,23.7525,24.7569,PASS,2.4035,2161979904,-3.636,-1.8507,7.2491
GE,2026-05-20,300.17,275.68,307.1242,9.5786,20.9439,22.9037,23.7099,PASS,0.0989,1848299852,6.8794,9.1548,18.3063
HON,2026-04-08,243.6844,232.7827,222.7408,5.3895,27.4929,19.4076,23.7379,REPAIR,10.0593,889898124,-0.1204,-5.377,-7.0547
HON,2026-05-06,227.3213,215.3085,223.5832,6.0835,30.471,20.3292,28.1448,REPAIR,2.6381,818003705,0.5072,0.2444,-1.3327
HON,2026-06-15,238.3803,217.5203,234.2917,8.3274,18.6515,28.3778,22.6024,PASS,6.7346,1204427763,-2.2163,-6.0744,-5.0551
UNP,2026-03-25,241.33,233.67,242.7397,5.5438,41.3622,13.4381,30.4838,REPAIR,4.0307,726467204,0.7417,4.0691,11.3413
UNP,2026-06-05,272.32,256.942,273.7099,7.265,18.1477,26.9383,17.7092,PASS,13.3706,846883529,0.1395,-4.5571,3.1654
ETN,2026-03-24,374.1,341.21,348.6632,13.3649,14.8393,22.4589,19.9441,PASS,5.0127,1036293886,-4.3919,3.0687,13.4723
ETN,2026-04-08,385.58,350.05,342.6159,14.0158,15.187,29.3469,23.3074,PASS,7.7214,953965464,2.4586,7.337,3.5194
ETN,2026-05-11,419,385.81,447.4336,16.4023,17.1718,27.367,27.1711,PASS,15.2014,1190671965,-8.8616,-3.7876,-10.3914
ETN,2026-05-26,403.13,366.53,405.8133,15.2672,14.8938,28.4658,25.489,PASS,10.6329,1199142214,3.5944,-0.3498,4.1525
ETN,2026-06-18,421.77,390.59,378.3022,16.6255,11.7657,23.653,20.291,PASS,14.3597,1044277256,-4.5262,-1.9798,-4.4621
